OrderID,Date,CustomerName,CustomerEmail,Country,City,Category,Product,Quantity,UnitPrice,Subtotal,DiscountPct,DiscountAmount,Tax8Pct,GrandTotal,PaymentMethod,ShippingMethod,OrderStatus,SalesRep,Rating
ORD-10001,2023-01-01,Priya Sharma,customer1987@email.com,UAE,New York,Books,Web Dev,1,47.23,47.23,15,7.08,3.21,43.36,COD,Overnight,Cancelled,Nadia Islam,4
ORD-10002,2023-01-01,Sam Wilson,customer7771@email.com,UAE,Sydney,Sports,Gym Bag,9,377.88,3400.92,5,170.05,258.47,3489.34,PayPal,Express,Delivered,Nadia Islam,5
ORD-10003,2023-01-01,Kevin Hart,customer2115@email.com,UK,Berlin,Home & Kitchen,Kettle,7,243.58,1705.06,10,170.51,122.76,1657.31,Debit Card,Overnight,Delivered,Usman Khan,5
ORD-10004,2023-01-01,Frank Castle,customer4932@email.com,UK,Islamabad,Sports,Yoga Mat,6,112.63,675.78,5,33.79,51.36,693.35,COD,Express,Delivered,Nadia Islam,4
ORD-10005,2023-01-01,Frank Castle,customer5434@email.com,UAE,Dubai,Sports,Dumbbells,2,55.73,111.46,15,16.72,7.58,102.32,Bank Transfer,Standard,Cancelled,John Doe,4
ORD-10006,2023-01-01,Grace Lee,customer4567@email.com,UAE,Sydney,Clothing,Shorts,3,18.99,56.97,20,11.39,3.65,49.23,PayPal,Standard,Delivered,Sara Ahmed,4
ORD-10007,2023-01-01,Priya Sharma,customer2658@email.com,USA,Toronto,Home & Kitchen,Air Fryer,1,245.22,245.22,10,24.52,17.66,238.36,COD,Express,Delivered,Ali Raza,4
ORD-10008,2023-01-01,Mike Ross,customer8944@email.com,Australia,Berlin,Home & Kitchen,Vacuum,5,333.51,1667.55,15,250.13,113.39,1530.81,PayPal,Standard,Delivered,Nadia Islam,2
ORD-10009,2023-01-01,Carlos Mendez,customer6800@email.com,India,London,Home & Kitchen,Microwave,9,346.17,3115.53,0,0.0,249.24,3364.77,PayPal,Express,Shipped,Ali Raza,5
ORD-10010,2023-01-01,Ivan Drago,customer5376@email.com,USA,Islamabad,Sports,Treadmill,6,236.1,1416.6,20,283.32,90.66,1223.94,PayPal,Standard,Shipped,Usman Khan,3
ORD-10011,2023-01-02,Carlos Mendez,customer9017@email.com,USA,New York,Books,Business Analytics,5,48.13,240.65,0,0.0,19.25,259.9,PayPal,Free Shipping,Delivered,Ali Raza,3
ORD-10012,2023-01-02,Frank Castle,customer3815@email.com,India,Berlin,Home & Kitchen,Kettle,3,379.81,1139.43,0,0.0,91.15,1230.58,PayPal,Express,Shipped,John Doe,3
ORD-10013,2023-01-02,Quinn Hughes,customer1970@email.com,Pakistan,Sydney,Sports,Cycling Gloves,5,143.38,716.9,0,0.0,57.35,774.25,Debit Card,Express,Delivered,John Doe,4
ORD-10014,2023-01-02,Carlos Mendez,customer8820@email.com,India,Toronto,Clothing,Jeans,8,65.71,525.68,25,131.42,31.54,425.8,Credit Card,Standard,Delivered,Usman Khan,4
ORD-10015,2023-01-02,Bob Smith,customer6512@email.com,USA,Karachi,Books,Cloud Computing,2,56.23,112.46,20,22.49,7.2,97.17,Debit Card,Standard,Shipped,John Doe,4
ORD-10016,2023-01-02,Laura Palmer,customer1207@email.com,UAE,Lahore,Clothing,Jacket,5,57.35,286.75,20,57.35,18.35,247.75,Debit Card,Overnight,Returned,Sara Ahmed,5
ORD-10017,2023-01-02,Frank Castle,customer1259@email.com,USA,Berlin,Books,Business Analytics,6,55.26,331.56,15,49.73,22.55,304.38,COD,Express,Shipped,John Doe,5
ORD-10018,2023-01-02,Julia Roberts,customer6025@email.com,Germany,Dubai,Sports,Gym Bag,8,490.67,3925.36,5,196.27,298.33,4027.42,Credit Card,Standard,Delivered,Nadia Islam,5
ORD-10019,2023-01-02,Kevin Hart,customer5358@email.com,Australia,Karachi,Electronics,Laptop,8,1009.63,8077.04,20,1615.41,516.93,6978.56,COD,Standard,Delivered,John Doe,4
ORD-10020,2023-01-02,Priya Sharma,customer9974@email.com,Australia,Berlin,Books,Python Basics,5,49.93,249.65,25,62.41,14.98,202.22,COD,Free Shipping,Cancelled,Sara Ahmed,5
ORD-10021,2023-01-03,Priya Sharma,customer1504@email.com,Pakistan,Karachi,Clothing,Jeans,9,114.94,1034.46,5,51.72,78.62,1061.36,Debit Card,Standard,Delivered,Usman Khan,5
ORD-10022,2023-01-03,Rachel Green,customer2759@email.com,Canada,Sydney,Sports,Cycling Gloves,4,352.17,1408.68,0,0.0,112.69,1521.37,Debit Card,Standard,Processing,John Doe,5
ORD-10023,2023-01-03,Ivan Drago,customer8514@email.com,UAE,Dubai,Books,Web Dev,9,21.88,196.92,10,19.69,14.18,191.41,PayPal,Standard,Shipped,Sara Ahmed,2
ORD-10024,2023-01-03,Sam Wilson,customer8760@email.com,India,Mumbai,Electronics,Smartwatch,7,132.79,929.53,25,232.38,55.77,752.92,Bank Transfer,Overnight,Shipped,Nadia Islam,1
ORD-10025,2023-01-03,Bob Smith,customer4794@email.com,USA,Karachi,Electronics,Tablet,6,547.43,3284.58,20,656.92,210.21,2837.87,Debit Card,Overnight,Delivered,Ali Raza,3
ORD-10026,2023-01-03,Alice Johnson,customer4590@email.com,India,Lahore,Home & Kitchen,Juicer,4,273.44,1093.76,20,218.75,70.0,945.01,Credit Card,Standard,Delivered,Ali Raza,5
ORD-10027,2023-01-03,Priya Sharma,customer7970@email.com,Australia,Toronto,Home & Kitchen,Vacuum,2,58.96,117.92,20,23.58,7.55,101.89,PayPal,Standard,Delivered,Usman Khan,5
ORD-10028,2023-01-03,Rachel Green,customer9980@email.com,USA,Lahore,Clothing,Tracksuit,8,11.67,93.36,20,18.67,5.98,80.67,Debit Card,Express,Returned,Usman Khan,4
ORD-10029,2023-01-03,Carlos Mendez,customer7285@email.com,USA,Dubai,Books,SQL Mastery,6,12.68,76.08,15,11.41,5.17,69.84,Credit Card,Standard,Delivered,Ali Raza,4
ORD-10030,2023-01-04,Alice Johnson,customer4329@email.com,Pakistan,Berlin,Books,Web Dev,3,44.37,133.11,10,13.31,9.58,129.38,Debit Card,Standard,Delivered,Ali Raza,5
ORD-10031,2023-01-04,Frank Castle,customer5012@email.com,USA,Dubai,Home & Kitchen,Air Fryer,7,389.66,2727.62,0,0.0,218.21,2945.83,Credit Card,Standard,Shipped,Usman Khan,5
ORD-10032,2023-01-04,Sam Wilson,customer3092@email.com,UAE,New York,Books,Machine Learning,7,59.07,413.49,10,41.35,29.77,401.91,PayPal,Standard,Delivered,Ali Raza,5
ORD-10033,2023-01-04,Sam Wilson,customer3967@email.com,Canada,Mumbai,Books,AI Future,6,32.17,193.02,5,9.65,14.67,198.04,Debit Card,Overnight,Delivered,John Doe,5
ORD-10034,2023-01-04,Kevin Hart,customer2675@email.com,USA,Toronto,Electronics,Mouse,2,1310.56,2621.12,20,524.22,167.75,2264.65,COD,Express,Shipped,Sara Ahmed,4
ORD-10035,2023-01-04,Hina Khan,customer5396@email.com,UAE,Islamabad,Home & Kitchen,Kettle,8,299.99,2399.92,5,120.0,182.39,2462.31,Debit Card,Free Shipping,Processing,Usman Khan,4
